path_to_video,UCF_Abuse,UCF_Arson,UCF_Burglary,UCF_Shooting,UCF_Stealing,UCF_Vandalism,UCF_Assault,UCF_Explosion,UCF_Arrest,UCF_Fighting,UCF_Robbery,UCF_Shoplifting,UCF_RoadAccidents,label
d2/Anomaly-Multiclass-Dataset/train/Robbery/Robbery127_x264.mp4,0.337399423122406,0.00992616917937994,0.2671523094177246,0.014895145781338215,0.011809492483735085,0.04940512031316757,0.0,0.0067011346109211445,0.007595915347337723,0.00980756338685751,0.023756174370646477,0.014688228257000446,0.049866899847984314,Robbery
d2/Anomaly-Multiclass-Dataset/train/Robbery/Robbery136_x264.mp4,0.006470208987593651,0.004027621820569038,0.02944357879459858,0.006420705933123827,0.0015893876552581787,0.040468670427799225,0.0,0.006646511144936085,0.02235248312354088,0.005223223939538002,0.031486302614212036,0.024344131350517273,0.003732871264219284,Robbery
d2/Anomaly-Multiclass-Dataset/train/Robbery/Robbery138_x264.mp4,0.025066226720809937,0.031012503430247307,0.12514863908290863,0.04487503692507744,0.027171194553375244,0.05890163034200668,0.0,0.044789109379053116,0.04341365024447441,0.011941990815103054,0.12164761126041412,0.017672091722488403,0.05376175791025162,Robbery
d2/Anomaly-Multiclass-Dataset/train/Robbery/Robbery030_x264.mp4,0.030219951644539833,0.002834824612364173,0.7755724787712097,0.012403982691466808,0.0,0.003286964725703001,0.0012903212336823344,0.003655480919405818,0.0016013032291084528,0.0015473004896193743,0.15276163816452026,0.004690735135227442,0.007921154610812664,Robbery
d2/Anomaly-Multiclass-Dataset/train/Robbery/Robbery094_x264.mp4,0.13926555216312408,0.0,0.04587166756391525,0.046776171773672104,0.00658578472211957,0.09180571138858795,0.018269753083586693,0.015620987862348557,0.1501108705997467,0.07931899279356003,0.02654576487839222,0.013844632543623447,0.03478722646832466,Robbery
d2/Anomaly-Multiclass-Dataset/train/Robbery/Robbery035_x264.mp4,0.058354008942842484,0.012978564947843552,0.021006714552640915,0.06902464479207993,0.0,0.06657344847917557,0.004118567332625389,0.010132229886949062,0.07986494153738022,0.04710893705487251,0.07124969363212585,0.009975273162126541,0.06219227612018585,Robbery
d2/Anomaly-Multiclass-Dataset/train/Robbery/Robbery025_x264.mp4,0.12858997285366058,0.01509631983935833,0.036979254335165024,0.013465531170368195,0.0,0.060394253581762314,0.00705333799123764,0.01919102668762207,0.029707826673984528,0.011554685421288013,0.10104750841856003,0.010617874562740326,0.45628371834754944,Robbery
d2/Anomaly-Multiclass-Dataset/train/Robbery/Robbery144_x264.mp4,0.06113051995635033,0.0,0.020707348361611366,0.028756586834788322,0.006685899570584297,0.030524494126439095,0.006383572705090046,0.022641602903604507,0.021997906267642975,0.023472687229514122,0.37054744362831116,0.020990628749132156,0.15765802562236786,Robbery
d2/Anomaly-Multiclass-Dataset/train/Robbery/Robbery105_x264.mp4,0.018597539514303207,0.01630263589322567,0.0473913848400116,0.019941816106438637,0.0,0.21493063867092133,0.003564524697139859,0.02041790634393692,0.183556467294693,0.0166977196931839,0.04001375660300255,0.01520203985273838,0.021964045241475105,Robbery
d2/Anomaly-Multiclass-Dataset/train/Robbery/Robbery130_x264.mp4,0.004449266940355301,0.02421712502837181,0.02773435227572918,0.021750446408987045,0.0,0.024367118254303932,0.004096211399883032,0.018161211162805557,0.016753775998950005,0.0226722564548254,0.0386311374604702,0.023967193439602852,0.029665937647223473,Robbery
