Path to Video,Label
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos066_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos333_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos917_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos249_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos755_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos840_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos380_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos218_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos863_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos090_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos617_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos199_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos060_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos268_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos658_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos757_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos821_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos818_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos017_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos007_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos788_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos191_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos350_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos386_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos169_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos208_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos450_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos443_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos586_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos149_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos760_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos497_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos389_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos731_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos764_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos131_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos776_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos673_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos124_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos493_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos283_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos451_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos609_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos504_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos812_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos920_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos327_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos058_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos599_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos846_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos204_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos848_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos838_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos652_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos236_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos344_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos515_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos373_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos765_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos671_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos272_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos676_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos285_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos680_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos751_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos073_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos610_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos388_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos697_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos553_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos423_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos859_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos315_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos750_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos402_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos467_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos180_x264.mp4,Normal
d1/Anomaly-detection-Dataset/train/Normal/Normal_Videos371_x264.mp4,Normal
